DATE;TIME_FROM;TIME_TO;IDAEP_GERMANY_VALUE_OP_[EUR/MWH];IDAEP_GERMANY_COMMENT;IDAEP_GERMANY_VALUE_QA_[EUR/MWH]
01.01.2021;00:00;00:15;40,610;;40,610
01.01.2021;00:15;00:30;51,300;;51,300
01.01.2021;00:30;00:45;50,600;;50,600
01.01.2021;00:45;01:00;42,120;;42,120
01.01.2021;01:00;01:15;64,890;;64,890
01.01.2021;01:15;01:30;53,280;;53,280
01.01.2021;01:30;01:45;48,370;;48,370
01.01.2021;01:45;02:00;49,250;;49,250
01.01.2021;02:00;02:15;67,910;;67,910
01.01.2021;02:15;02:30;64,980;;64,980
01.01.2021;02:30;02:45;60,200;;60,200
01.01.2021;02:45;03:00;57,460;;57,460
01.01.2021;03:00;03:15;45,750;;45,750
01.01.2021;03:15;03:30;40,400;;40,400
01.01.2021;03:30;03:45;41,940;;41,940
01.01.2021;03:45;04:00;43,550;;43,550
01.01.2021;04:00;04:15;32,490;;32,490
01.01.2021;04:15;04:30;40,230;;40,230
01.01.2021;04:30;04:45;42,010;;42,010
01.01.2021;04:45;05:00;45,870;;45,870
01.01.2021;05:00;05:15;43,570;;43,570
01.01.2021;05:15;05:30;42,110;;42,110
01.01.2021;05:30;05:45;44,150;;44,150
01.01.2021;05:45;06:00;36,860;;36,860
01.01.2021;06:00;06:15;35,300;;35,300
01.01.2021;06:15;06:30;37,090;;37,090
01.01.2021;06:30;06:45;44,040;;44,040
01.01.2021;06:45;07:00;50,650;;50,650
01.01.2021;07:00;07:15;29,990;;29,990
01.01.2021;07:15;07:30;42,260;;42,260
01.01.2021;07:30;07:45;49,010;;49,010
01.01.2021;07:45;08:00;55,380;;55,380
01.01.2021;08:00;08:15;46,140;;46,140
01.01.2021;08:15;08:30;42,060;;42,060
01.01.2021;08:30;08:45;44,360;;44,360
01.01.2021;08:45;09:00;58,140;;58,140
01.01.2021;09:00;09:15;45,620;;45,620
01.01.2021;09:15;09:30;49,200;;49,200
01.01.2021;09:30;09:45;49,630;;49,630
01.01.2021;09:45;10:00;48,510;;48,510
01.01.2021;10:00;10:15;44,040;;44,040
01.01.2021;10:15;10:30;48,320;;48,320
01.01.2021;10:30;10:45;39,200;;39,200
01.01.2021;10:45;11:00;45,490;;45,490
01.01.2021;11:00;11:15;44,920;;44,920
01.01.2021;11:15;11:30;50,460;;50,460
01.01.2021;11:30;11:45;46,420;;46,420
