Date;Time of day;Volume activated (+)[MWh];Volume activated (-)[MWh];Activation price (+)[€/MWh];Activation price (-)[€/MWh];Volume procured (+)[MW];Volume procured (-)[MW];Procurement price (+)[€/MW];Procurement price (-)[€/MW]
Jan 1, 2022;12:00 AM;23;4;292.05;-9.07;2,127;1,926;0.17;9.13
Jan 1, 2022;12:15 AM;89;0;347.22;-12.34;2,127;1,926;0.17;9.13
Jan 1, 2022;12:30 AM;14;1;269.26;-10.28;2,127;1,926;0.17;9.13
Jan 1, 2022;12:45 AM;2;3;144.11;-9.42;2,127;1,926;0.17;9.13
Jan 1, 2022;1:00 AM;21;1;287.65;-10.61;2,127;1,926;0.17;9.13
Jan 1, 2022;1:15 AM;1;1;113.05;-10;2,127;1,926;0.17;9.13
Jan 1, 2022;1:30 AM;1;1;113.05;-10.16;2,127;1,926;0.17;9.13
Jan 1, 2022;1:45 AM;1;4;113.05;-8.9;2,127;1,926;0.17;9.13
Jan 1, 2022;2:00 AM;53;1;326.38;-10.44;2,127;1,926;0.17;9.13
Jan 1, 2022;2:15 AM;14;1;269.19;-10.79;2,127;1,926;0.17;9.13
Jan 1, 2022;2:30 AM;3;1;174.98;-10.14;2,127;1,926;0.17;9.13
Jan 1, 2022;2:45 AM;0;14;113.05;-6.35;2,127;1,926;0.17;9.13
Jan 1, 2022;3:00 AM;0;27;113.05;-2.76;2,127;1,926;0.17;9.13
Jan 1, 2022;3:15 AM;0;37;113.05;0.47;2,127;1,926;0.17;9.13
Jan 1, 2022;3:30 AM;0;23;113.05;-3.81;2,127;1,926;0.17;9.13
Jan 1, 2022;3:45 AM;0;102;113.05;62.98;2,127;1,926;0.17;9.13
Jan 1, 2022;4:00 AM;1;28;147.94;22.45;-;-;0.33;7.99
Jan 1, 2022;4:15 AM;0;32;147.94;24.48;-;-;0.33;7.99
Jan 1, 2022;4:30 AM;0;4;147.94;-1.88;-;-;0.33;7.99
Jan 1, 2022;4:45 AM;1;11;147.94;9.91;-;-;0.33;7.99
Jan 1, 2022;5:00 AM;1;3;147.94;-3.38;-;-;0.33;7.99
Jan 1, 2022;5:15 AM;1;1;147.94;-12.76;-;-;0.33;7.99
Jan 1, 2022;5:30 AM;6;1;253.37;-12.88;-;-;0.33;7.99
Jan 1, 2022;5:45 AM;9;1;270.18;-13.31;-;-;0.33;7.99
Jan 1, 2022;6:00 AM;0;75;147.94;44.72;-;-;0.33;7.99
Jan 1, 2022;6:15 AM;0;36;147.94;26.22;-;-;0.33;7.99
Jan 1, 2022;6:30 AM;0;71;147.94;43.11;-;-;0.33;7.99
Jan 1, 2022;6:45 AM;0;121;147.94;65.12;-;-;0.33;7.99
Jan 1, 2022;7:00 AM;0;51;147.94;32.87;-;-;0.33;7.99
Jan 1, 2022;7:15 AM;0;74;147.94;44.27;-;-;0.33;7.99
Jan 1, 2022;7:30 AM;0;33;147.94;24.9;-;-;0.33;7.99
Jan 1, 2022;7:45 AM;0;84;147.94;48.25;-;-;0.33;7.99
Jan 1, 2022;8:00 AM;1;76;168.77;41.51;-;-;0.89;1.08
Jan 1, 2022;8:15 AM;0;16;168.77;0;-;-;0.89;1.08
Jan 1, 2022;8:30 AM;0;95;168.77;49.6;-;-;0.89;1.08
Jan 1, 2022;8:45 AM;0;116;168.77;55.63;-;-;0.89;1.08
Jan 1, 2022;9:00 AM;0;200;0;94.45;-;-;0.89;1.08
Jan 1, 2022;9:15 AM;0;208;168.77;98.16;-;-;0.89;1.08
Jan 1, 2022;9:30 AM;0;146;168.77;65.38;-;-;0.89;1.08
Jan 1, 2022;9:45 AM;0;132;168.77;59.62;-;-;0.89;1.08
Jan 1, 2022;10:00 AM;0;162;168.77;75.8;-;-;0.89;1.08
Jan 1, 2022;10:15 AM;0;151;168.77;68.73;-;-;0.89;1.08
Jan 1, 2022;10:30 AM;0;117;168.77;55.94;-;-;0.89;1.08
Jan 1, 2022;10:45 AM;0;123;168.77;57.19;-;-;0.89;1.08
Jan 1, 2022;11:00 AM;0;117;0;55.9;-;-;0.89;1.08
Jan 1, 2022;11:15 AM;0;163;0;75.9;-;-;0.89;1.08
Jan 1, 2022;11:30 AM;0;180;168.77;85.22;-;-;0.89;1.08
Jan 1, 2022;11:45 AM;0;93;168.77;48.85;-;-;0.89;1.08
